Question,Answer,Category,polarity
香味持续久吗,完全不持久！,效果,-1
轻微痘痘，轻微油性皮肤，男生用起来怎么样？,和本人差不多一样，可以用,适用性,1
防脱发吗？,是的，效果不错，就是要坚持用一段时间才能有效果,功能,1
宝宝皮肤比较干能用吗？,我觉得这个产品挺温和的,适用性,1
这个后背出油用的话友好吗,洗完很干爽，好用,适用性,1
对于爱出油的效果咋样，有美白效果吗,没有美白效果,效果,-1
有没有人用后浑身痒？,不痒，适合油皮，香味好闻，持久留香,不良反应,1
有美白功能吗？,想啥呢??怎么可能有,功能,-1
洗过后香吗,感觉还不错，控油效果很好,效果,0
东北人用合适吗？我想买给未来岳父，我今天在公司听说只适合南方人用。求真实回答，多谢啦！,这个没区别吧，这款去油效果很好,适用性,1
请问购买菁纯的油发们控油效果好吗,不错的，清爽，不油腻,效果,1
这款洗面奶适合红血丝的皮肤吗？,适合，很温和的,适用性,1
这款孕妇用怎么样？,可以买专用的好一些吧,适用性,0
起泡沫么？去油效果怎么样？,起泡沫的，还挺多，去油效果好,效果,1
洗完后皮肤会还是油的吗,不油。也不会太干,不良反应,1
孩子可以用不？,小孩子不建议,适用性,-1
中学生可以用吗？,可以的。,适用性,1
你们的这款洗面奶起泡泡吗？泡泡多吗？,还可以一直用,质地,0
正品么请问，上次在宝洁买了两瓶护发素假的，这个真的吗,真的，可以放心买,认证产品,1
各位买过的亲，请问洗面奶瓶口有类似锡纸的封口封住吗？,没有,包装,-1
哺乳期能用吗,可以吧，我哺乳期用了,适用性,0
会过敏吗？,我用不会喔,不良反应,1
洗完之后会还是很油吗？柔顺吗？10岁建不建议用,10岁分开用了,适用性,0
这个洗发水好闻吗，去油怎么样,好闻，好用。,味道,1
去屑如何？适合全家用吗？,我一直都在用呢！好,适用性,1
控油效果好吗，,控油很好,效果,1
请问男士脸上后背出油一直长痘痘，用这个有效果吗？,用了十天了，没有任何效果，再等等看再说,效果,0
用了是不是很多头皮屑,不会呀,不良反应,1
除螨效果怎样？和除螨包，除螨喷雾搭配用怎样？,鸡肋,效果,-1
这个可以用来洗脸吗，当洗面奶,不可以当洗面奶亲,功能,-1
女孩子能用吗？,都可以吧，不分男女,适用性,1
问一下买过的人，这款洗发水去屑吗？,还不错的,功能,0
我家用了很多头皮屑，又干又痒，有没有这样的？,我家娃用完也是出了很多头皮屑,不良反应,-1
可以用来洗澡吗，洗完澡有香味吗？,洗脸的,功能,0
这个洗面奶好用吗？,好用,效果,1
这个包装漏吗,没有，包的很严实,包装,1
这个用完后脸特别干为啥,啊。氨基酸洗面奶不干啊。,不良反应,1
我家女儿头上头屑，这去屑吗？,我女儿也有用着挺管用的,效果,1
用了会不会刺激阴部啊,不会,不良反应,1
洗这款头发去油吗，是不是正品？,是正品,认证产品,1
这个沐浴露好不好,不知道是不是正品，洗完澡身上特别干，起一层皮,效果,-1
中性发质适不适合强根这款？,可以,适用性,1
洗完头发香不香,有淡淡的水蜜桃香味，味道不浓烈,味道,1
这个味道怎么样,味道不错，清香自然，持久留香，泡沫细腻丰富使用效果很好,味道,1
这个好用吗？,还可以,效果,0
十岁小孩可以用吗？,没问题，可以用,适用性,1
洗完头发蓬松吗,之前买了一次，因为头发油每天都要洗，用完确实很清爽，头屑也少了很多,效果,1
请问用过的各位大神，隆力奇这款驱螨沐浴露真像广告宣传的那样，还是涉嫌虚假宣传？,对于我来说，一点用没有,效果,-1
适合十岁男孩子用吗？,适合吧，,适用性,0
男士可以用吗,可以啊,适用性,1
有头皮屑吗,我用着头皮屑挺多的,不良反应,-1
你们的正品和赠品是一起收到的吗？,有些是，有些不是,物流,0
这个你们用了有起红豆的吗？,没有，效果挺不错的,不良反应,1
洗了头发很硬很枯燥，头发连在一起很紧怎么办,那是你发质不行了吧，染烫太多了？,不良反应,0
味道怎么样,挺好闻,味道,1
这款好用吗？？,好用，海飞丝应该还不错吧,效果,1
这个洗发水刚抹头上就痒的很，越洗越痒。有跟我一样情况吗？,不会。,不良反应,1
买到的洗发水有塑料膜封口吗？,没有封口,包装,-1
请问买过的亲:此款去屑和止痒的效果怎么样呢？,很好用。,效果,1
止痒效果怎么样？去屑去油吗,挺好的,效果,1
这个能去黑头吗,不可以,功能,-1
洗发水怎么样？能不能控油，洗了会不会痒，脱发？,能控油，不会痒、脱发！,不良反应,1
是男士的吗,都可以用，只要不嫌弃太香,适用性,1
沐浴露可以洗头吗？,洗澡的,功能,0
洗完后黏滑吗？,不会，冲完澡不会,不良反应,1
可以用来洗宝宝屁屁吗？,可以放洗澡水里面或者直接擦身体都可以,功能,1
这个用后脸上起白皮吗？长痘能用吗？,长痘能用,适用性,1
你们有人洗完以后头发几个小时，感觉还是没干的样子，很油这种状况吗？,这款洗完很控油,效果,1
头皮干头发油适合红绿的是吗，我看评论有人说会生头皮屑，是真的吗？,我觉得很好用,适用性,1
用这款真的有蓬松的效果吗？能持续多久？用久了头发会掉发更严重更油腻嘛？,比之前用的洗发水蓬松效果好点,效果,0
长痘痘的可以用吗,可以哦,适用性,1
这款洗发水味道好不好闻,还行吧,味道,0
这款有柔顺的效果吗,一般,效果,0
这款洗发水保护发质吗,还行,功能,0
2个人一瓶能用多久啊？,看自己用量,使用寿命,0
1升装112两瓶贵不贵,稍贵了点,价格,-1
除螨有效果吗？,感觉不出来,效果,0
真能防脱发吗？,还行吧,功能,0
是正品嗎？香味是那種香，,是正品，放心!至于香味，商品瓶身上都有写!商品的详情介绍上都有介绍!,认证产品,1
有美白功能吗,没有,功能,-1
易冲洗吗,挺好冲洗的,易冲洗,1
身上痒长逗逗可以用吗,可以，去螨虫的,适用性,1
可以卸防晒吗？,可以,清洁力,1
洗发水怎么样啊小孩儿能用吗,小孩子最好不用吧，大人用的,适用性,-1
为什么我那天用了之后，第二天超多头皮屑,在用两次试试，如果依然多那就不适合就换别的吧,不良反应,0
女孩子可以用嘛没有头屑,有那种常规，是适合男女用的,适用性,0
你们用了孩子有掉头发的现象吗？,没有掉啊很好,不良反应,1
我头发干燥这款洗发水好用吗？谢谢了！,我也干性。觉得挺好,适用性,1
清洁的干净吗,清洁很干净，不刺激皮肤，味道很好闻，香味持久,清洁力,1
会过敏吗？,没有过敏,不良反应,1
洗完会假滑吗？容不容易冲洗？泡沫怎么样，多吗？,泡沫挺多的，洗的时候闻着很香，容易清洗,质地,1
